"사용월","호선명","지하철역","04시-05시 승차인원","04시-05시 하차인원","05시-06시 승차인원","05시-06시 하차인원","06시-07시 승차인원","06시-07시 하차인원","07시-08시 승차인원","07시-08시 하차인원","08시-09시 승차인원","08시-09시 하차인원","09시-10시 승차인원","09시-10시 하차인원","10시-11시 승차인원","10시-11시 하차인원","11시-12시 승차인원","11시-12시 하차인원","12시-13시 승차인원","12시-13시 하차인원","13시-14시 승차인원","13시-14시 하차인원","14시-15시 승차인원","14시-15시 하차인원","15시-16시 승차인원","15시-16시 하차인원","16시-17시 승차인원","16시-17시 하차인원","17시-18시 승차인원","17시-18시 하차인원","18시-19시 승차인원","18시-19시 하차인원","19시-20시 승차인원","19시-20시 하차인원","20시-21시 승차인원","20시-21시 하차인원","21시-22시 승차인원","21시-22시 하차인원","22시-23시 승차인원","22시-23시 하차인원","23시-24시 승차인원","23시-24시 하차인원","00시-01시 승차인원","00시-01시 하차인원","01시-02시 승차인원","01시-02시 하차인원","02시-03시 승차인원","02시-03시 하차인원","03시-04시 승차인원","03시-04시 하차인원","작업일자"
"202208","3호선","교대(법원.검찰청)","61","0","1234","739","3634","6549","8660","19601","12025","46021","10100","33980","10814","15931","13572","11061","15658","10520","18580","10901","20512","9731","22539","9076","25829","9804","43235","13604","64448","17814","27141","9452","21576","5083","23314","4247","21473","4118","7078","2232","930","614","0","7","0","0","0","0","20220903"
"202208","3호선","구파발","123","0","10392","1388","30780","9592","82016","21655","71340","28377","41390","25952","29539","26692","28074","24579","29851","25362","27645","27841","27874","27565","30388","27205","36079","33619","37491","40035","30837","74136","20014","60343","15502","33045","13461","28845","10820","25735","2871","18277","397","6861","0","231","0","0","0","0","20220903"
"202208","3호선","금호","20","2","4439","546","9795","2639","24980","4564","34709","8622","21580","6243","13876","6251","11334","6594","11555","7604","10760","8974","9506","9379","9405","11605","10477","13755","10973","18947","10709","29345","7194","19824","5298","13635","4127","11702","3199","11524","1305","6140","174","1482","0","4","0","0","0","0","20220903"
"202208","3호선","남부터미널(예술의전당)","66","2","2852","1439","9053","24926","27262","60034","40718","147166","33504","78944","31744","46365","35824","34614","36607","37341","39724","40973","39930","40993","44353","39514","56104","44611","96270","50267","132044","59497","57573","38976","40172","22755","37060","18357","32635","14391","8626","8557","768","1996","1","9","0","0","0","0","20220903"
"202208","3호선","녹번","56","0","9622","781","25542","3715","67128","7348","70547","16840","41115","9803","25280","9279","20645","9803","20953","11959","18454","12308","16651","13600","15535","17331","15978","24120","17182","33079","19615","58541","9395","47633","6854","28121","5648","25017","3888","23076","1378","13432","134","3095","0","4","0","0","0","0","20220903"
"202208","3호선","대청","78","2","3638","939","10846","6679","25842","15373","32397","26514","18533","12941","14552","8653","13435","8012","12681","9291","13315","10448","12240","10686","14209","12677","20655","14017","22230","18145","26060","26010","10712","22570","7393","14600","6040","13185","4597","14457","1618","7296","206","1973","0","6","0","0","0","0","20220903"
"202208","3호선","대치","15","1","2641","754","11330","8345","22440","20679","23356","31750","14873","20969","12103","14181","12605","13602","15900","16868","16934","20707","14831","16866","17427","17105","20200","23581","33267","27689","29812","27722","17363","21985","13267","11414","18765","11119","34394","9462","3005","5790","232","1491","2","4","0","0","0","0","20220903"
"202208","3호선","도곡","21","0","938","280","3256","4832","8335","12822","10061","18713","6245","14974","5352","7176","5590","6231","6298","6151","6288","6265","6516","5790","8447","5650","11240","6202","16320","7664","16581","9944","8074","8325","5578","4785","5026","4332","4038","4254","978","2478","135","1392","1","175","0","0","0","0","20220903"
"202208","3호선","독립문","147","2","4829","689","5974","4773","14171","12767","16953","18398","13438","13575","11337","12523","12113","10470","13395","10500","12662","11825","12392","10661","13754","11184","15156","12270","15450","13189","15550","16636","7188","12815","5002","8132","4277","7047","2874","6875","1001","4409","112","1591","0","463","0","0","0","0","20220903"
"202208","3호선","동대입구","18","3","1756","1106","2901","9337","5761","15597","7672","46418","6230","27982","5867","15541","7510","14410","9592","13872","9438","14526","12407","12639","12772","11861","18351","12482","26358","15041","43720","16115","18005","10393","13416","5416","15764","5248","14924","4180","3643","2657","245","857","0","65","0","0","0","0","20220903"
